帖子ID,平台ID,平台名称,媒体类型
DY_202403291707_2204,P_2,抖音,视频
WB_202405130736_2205,P_0,微博,微博
WB_202405130623_2206,P_0,微博,微博
WB_202405192109_2207,P_0,微博,微博
WB_202405130700_2208,P_0,微博,微博
WB_202405131325_2209,P_0,微博,微博
WB_202405122236_2210,P_0,微博,微博
WB_202405131614_2211,P_0,微博,微博
WB_202405192003_2212,P_0,微博,微博
WB_202405131529_2213,P_0,微博,微博
WB_202405192146_2214,P_0,微博,微博
WB_202405192019_2215,P_0,微博,微博
WB_202405131933_2216,P_0,微博,微博
WB_202405191613_2217,P_0,微博,微博
WB_202405131741_2218,P_0,微博,微博
WB_202405131541_2219,P_0,微博,微博
WB_202405192148_2220,P_0,微博,微博
WB_202405140039_2221,P_0,微博,微博
WB_202405131253_2222,P_0,微博,微博
WB_202405131235_2223,P_0,微博,微博
WB_202405141127_2224,P_0,微博,微博
WB_202405131731_2225,P_0,微博,微博
WB_202405192101_2226,P_0,微博,微博
WB_202405131616_2227,P_0,微博,微博
WB_202405192135_2228,P_0,微博,微博
WB_202405132308_2229,P_0,微博,微博
WB_202405141238_2230,P_0,微博,微博
WB_202405192311_2231,P_0,微博,微博
WB_202405191640_2232,P_0,微博,微博
WB_202405152156_2233,P_0,微博,微博
WB_202405122150_2234,P_0,微博,微博
VX_202405161053_2235,P_6,微信,微信
WB_202405122308_2236,P_0,微博,微博
WB_202405122348_2237,P_0,微博,微博
WB_202405122052_2238,P_0,微博,微博
WB_202405122107_2239,P_0,微博,微博
WB_202405122123_2240,P_0,微博,微博
WB_202405122041_2241,P_0,微博,微博
WB_202405122045_2242,P_0,微博,微博
WB_202405122022_2243,P_0,微博,微博
WB_202405122110_2244,P_0,微博,微博
WB_202405121917_2245,P_0,微博,微博
WB_202405121913_2246,P_0,微博,微博
WB_202405122124_2247,P_0,微博,微博
WB_202405122044_2248,P_0,微博,微博
WB_202405122024_2249,P_0,微博,微博
WB_202405122041_2250,P_0,微博,微博
WB_202405122036_2251,P_0,微博,微博
WB_202405121947_2252,P_0,微博,微博
WB_202405122036_2253,P_0,微博,微博
WB_202405121945_2254,P_0,微博,微博
WB_202405122023_2255,P_0,微博,微博
WB_202405122123_2256,P_0,微博,微博
WB_202405122108_2257,P_0,微博,微博
WB_202405121953_2258,P_0,微博,微博
WB_202405122041_2259,P_0,微博,微博
WB_202405122018_2260,P_0,微博,微博
WB_202405122019_2261,P_0,微博,微博
WB_202405122047_2262,P_0,微博,微博
WB_202405122028_2263,P_0,微博,微博
WYXW_202408141207_2264,P_5,网易新闻,客户端
WB_202408161509_2266,P_0,微博,微博
WB_202408151648_2267,P_0,微博,微博
WB_202408151101_2268,P_0,微博,微博
WB_202408142109_2269,P_0,微博,微博
JRTT_202408141823_2271,P_3,今日头条,视频
DY_202408151559_2272,P_2,抖音,视频
WB_202408141909_2273,P_0,微博,微博
KS_202408151747_2274,P_4,快手,视频
WB_202408141811_2278,P_0,微博,微博
JRTT_202408141753_2279,P_3,今日头条,客户端
JRTT_202408141254_2280,P_3,今日头条,客户端
JRTT_202408140919_2281,P_3,今日头条,客户端
JRTT_202408141402_2283,P_3,今日头条,视频
WB_202408141951_2284,P_0,微博,微博
KS_202408141254_2285,P_4,快手,视频
WB_202408171412_2286,P_0,微博,微博
JRTT_202408141250_2287,P_3,今日头条,视频
DY_202408150312_2289,P_2,抖音,视频
JRTT_202408141826_2290,P_3,今日头条,客户端
JRTT_202408151435_2293,P_3,今日头条,客户端
JRTT_202408141720_2295,P_3,今日头条,客户端
WB_202408142029_2296,P_0,微博,微博
JRTT_202408141847_2297,P_3,今日头条,客户端
JRTT_202408170902_2303,P_3,今日头条,客户端
DY_202408141622_2305,P_2,抖音,视频
WB_202408151153_2307,P_0,微博,微博
JRTT_202408151427_2308,P_3,今日头条,客户端
JRTT_202408141219_2309,P_3,今日头条,视频
JRTT_202408140822_2310,P_3,今日头条,客户端
WB_202408141819_2311,P_0,微博,微博
KS_202408151726_2313,P_4,快手,视频
JRTT_202408091540_2314,P_3,今日头条,客户端
WB_202408151128_2316,P_0,微博,微博
WB_202408160625_2317,P_0,微博,微博
